question,answer,chunk_id,topic,dataset_type
Smithが得点した際の状況について教えてください。,Smithが150回目となる得点を挙げた際、素晴らしいラインアウトが起きました。これはCooperのビジョンがRedsのフィールドの長さを利用する試みによってセットアップされたものです。,cc_news_2per_chunk_0,野球のプレー,cc_news_2per_chunks
Tom Englishが発言したとされるフレーズは何ですか？,Tom Englishは、「You've got to rip the bandaid off」というフレーズを言っています。,cc_news_2per_chunk_1,Tom Englishの引用,cc_news_2per_chunks
ドリュー・ミッチェル選手はいつ、どのような形で引退するのですか？,ドリュー・ミッチェル選手は、フランスのトップ14シーズン終了時に引退することを発表しました。彼は2023年（記事執筆時点）に所属するトゥールロンでのコミットメントを終えることで、キャリアを締めくくります。,cc_news_2per_chunk_3,引退時期と所属,cc_news_2per_chunks
ドリュー・ミッチェル選手のキャリアにおける主なハイライトや大会での実績は何ですか？,彼は、トゥールロンでマット・ジトーと共に2014年と2015年にチャンピオンズカップ、そしてトップ14のタイトルを獲得しました。また、ウォラビーズ代表として71試合に出場し、2015年のワールドカップにも出場しています。,cc_news_2per_chunk_3,キャリアのハイライト,cc_news_2per_chunks
ドリュー・ミッチェル選手の経歴（所属クラブやキャリアの始まり）について教えてください。,彼のキャリアは2004年にクイーンズランドでのスーパーラグビーから始まりました。その後、ウェスタン・フォースやワラタースに所属し、2013年にフランスへ移籍し、トゥールロンでプレーしました。,cc_news_2per_chunk_3,キャリアの経歴,cc_news_2per_chunks
Linfield Collegeのワイン教育プログラムは、どのような特徴を持っていますか？,現在、米国で初の学際的なリベラルアーツのワイン学士号を提供しており、歴史的、地理的、環境的側面だけでなく、ワインの製造、販売、経営など、ビジネス全般を網羅する点が特徴です。,cc_news_2per_chunk_4,ワイン教育の範囲,cc_news_2per_chunks
Grace and Ken Evenstadによる600万ドルの寄付金は何に充てられますか？,この寄付金は、Evenstad Center for Wine Educationの設立、Evenstad Chair in Wine Studiesという寄付教員職の創設、そして新しい科学棟の一部となるEvenstad Wine Laboratoryの設計・建設資金に充てられます。,cc_news_2per_chunk_4,寄付金の使途,cc_news_2per_chunks
Evenstad Center for Wine Educationは、どのような学習機会を提供しますか？,オンラインのワイン経営・マーケティングの修了証書、ワイン講演シリーズ、サマーワイン産業イマージョンプログラムの提供、そして世界有数のワインイベントである国際ピノ・ノワール・セレブレーションの開催など、多岐にわたる活動を提供します。,cc_news_2per_chunk_4,提供されるプログラム,cc_news_2per_chunks
Evenstad夫妻は、この寄付を通じてどのような目標を掲げていますか？,オレゴン州のワイン産業が世界的な産地となるよう支援し、新設されるワイン学プログラムが世界中から優秀な人材を引きつけ、業界の発展を促す「磁石」となることを目指しています。,cc_news_2per_chunk_4,産業発展への貢献,cc_news_2per_chunks
ドメーヌ・セレーヌはいつ、どこで設立されましたか？,ドメーヌ・セレーヌは、グレースとケン・イーブンスタッドによって、オレゴンのダンディー・ヒルズで1989年に設立されました。,cc_news_2per_chunk_5,設立情報,cc_news_2per_chunks
