question,answer,chunk_id,topic,dataset_type
レジーナ・ウィロービーはいつ、どのような形で舞台から引退するのですか？,レジーナ・ウィロービーは40歳で、今年の3月に舞台から引退する予定です。彼女の引退シーズンは、娘のメリーナが会社でキャリアをスタートさせる時期と重なります。,cc_news_2per_768_chunk_0,引退とキャリア開始,cc_news_2per_768_chunks
レジーナとメリーナが一緒に舞台に立つのはどのような状況ですか？,彼女たちは、コロンビア・シティ・バレエの同じシーズンで共演しています。特に『ノートルダムの鐘』では、レジーナがスノー・クイーンを、メリーナがスノー・コーポルスの役を演じ、共にアラビアン・ディヴァーティスマンに登場します。,cc_news_2per_768_chunk_0,共演の状況と役割,cc_news_2per_768_chunks
レジーナは、娘のメリーナのバレエへの進展についてどのように感じていますか？,レジーナは、メリーナがバレエをこれほど深く追求することになり、「とても超現実的だ」と感じており、自分が想像していた以上の進展だと述べています。,cc_news_2per_768_chunk_0,母の感想と共演,cc_news_2per_768_chunks
ニューヨーク・シティ・バレエが暫定的に芸術面を統括するリーダーシップチームは誰ですか？,暫定リーダーシップチームは、バレエマスターのジョナサン・スタッフォードが率いる4人組で構成されています。メンバーは、カガミ・ホール、レベッカ・クローン、そしてNYCB在籍振付家でソリストのジャスティン・ペックです。,cc_news_2per_768_chunk_1,暫定リーダーシップチーム,cc_news_2per_768_chunks
ピーター・マーティンス氏が休職することになった背景は何ですか？,マーティンス氏は、会社が彼に向けられたセクシャルハラスメントの告発について内部調査を行うため、NYCBとアメリカン・バレエ・スクールから一時的な休職を要請しました。,cc_news_2per_768_chunk_1,休職の背景,cc_news_2per_768_chunks
暫定リーダーシップチームの主な役割は何ですか？,このチームは、スケジューリング、キャスティング、リハーサルの実施など、会社の日常的な芸術的ニーズを担当する責任を負います。,cc_news_2per_768_chunk_1,チームの役割,cc_news_2per_768_chunks
Martinの在籍期間について、何か進展はありますか？,現時点では在籍期間に関する具体的な情報は発表されていませんが、状況が分かり次第、引き続き更新していきます。,cc_news_2per_768_chunk_2,Martinの経歴,cc_news_2per_768_chunks
ペンシルベニア・バレエとボストン・バレエがスーパーボウルでパフォーマンスをした目的は何ですか？,試合当日を祝い、それぞれの地域のチームを応援するために、バレエダンサーたちが普段のリハーサルを中断してスーパーボウルをテーマにした振り付けを披露しました。,cc_news_2per_768_chunk_3,パフォーマンスの目的,cc_news_2per_768_chunks
ペンシルベニア・バレエのダンサーたちはどのような衣装と振り付けでパフォーマンスをしましたか？,イーグルスの緑色の衣装をまとい、フォゥエフェターン、高いジャンプ、そして白鳥のような腕の動きを多く含む、テンポの速いルーティンを披露しました。,cc_news_2per_768_chunk_3,PABの衣装と振り付け,cc_news_2per_768_chunks
このパフォーマンスは、どのようなイベントに関連していますか？,フィラデルフィア・イーグルスとニューイングランド・ペイトリオッツが関わるスーパーボウルを記念したものです。,cc_news_2per_768_chunk_3,スーパーボウル関連,cc_news_2per_768_chunks
ボストン・バレエはスーパーボウルに関連してどのような活動をしましたか？,ボストン・バレエは、スーパーボウルの楽しみに加わるため、Facebookで独自の動画を公開しました。,cc_news_2per_768_chunk_4,スーパーボウル参加,cc_news_2per_768_chunks
